model,family,n,acc,aggregate,Applied,Factual,Human.,Social,Formal,Science,mean_dom,sd_dom
Opus 4.6,Anthropic,1500,0.9506666666666667,0.8061625791289185,0.847102490421456,0.8182978723404255,0.7040289256198347,0.8732492997198879,0.7427685950413223,0.7578708211619604,0.7905530007174811,0.06579390612157826
Opus 4.5,Anthropic,1500,0.9473333333333334,0.797846943229496,0.8207614942528735,0.795405982905983,0.678460743801653,0.8666767554479419,0.7866666666666666,0.7645245050308342,0.7854160246843254,0.06297596312248052
Sonnet 4.5,Anthropic,1500,0.946,0.7954871714561638,0.8487293956043955,0.709185329438494,0.7148736037624926,0.8007478632478632,0.752498530276308,0.7584033613445378,0.7640730139456818,0.053124572530323586
Opus 4.7,Anthropic,1499,0.9466310873915944,0.7924770965468639,0.8524720893141945,0.7256838905775076,0.6919459141681363,0.8245392577631911,0.779936974789916,0.8164701407379232,0.7818413778918115,0.06204746906767475
Sonnet 4.6,Anthropic,1500,0.9353333333333333,0.7766788398938945,0.8867391304347827,0.7799798030800302,0.759818240830899,0.6937385816309584,0.7877066115702479,0.781687675070028,0.781611673769491,0.06210995609576396
Sonnet 4,Anthropic,1500,0.936,0.7728105709876544,0.828030775629029,0.6829594017094017,0.7562479714378448,0.794343938448742,0.735131396957123,0.7856570512820513,0.7637284225773654,0.05089272822803743
Haiku 4.5,Anthropic,1500,0.9146666666666666,0.7709462691326532,0.84,0.7202094780219781,0.793267402054013,0.7274774774774776,0.8045947992931078,0.7057959401709402,0.7652241828362527,0.05460905393437987
Opus 4.1,Anthropic,1500,0.9426666666666667,0.7081880530245717,0.8375239463601531,0.6146823887409661,0.7107583774250441,0.7808695652173911,0.6913515406162465,0.6357758620689655,0.7118269467381277,0.0850973978503519
DeepSeek-R1,DeepSeek,1500,0.9153333333333333,0.7692420184549035,0.8431323700381996,0.682391304347826,0.7846549636803875,0.8140622818042172,0.7453748782862707,0.6941304347826087,0.760624372156585,0.0648306299529625
DeepSeek V3.2,DeepSeek,1371,0.9015317286652079,0.7338787007071796,0.7132798428033404,0.7693236714975845,0.6981837606837606,0.6688034188034189,0.7690543401552576,0.6964995034756702,0.7191907562365055,0.04130301606182344
DeepSeek V3.1,DeepSeek,1380,0.8717391304347826,0.7156332333009284,0.7558014354066984,0.6902722880983752,0.7165476190476191,0.6362932732901773,0.7965686274509804,0.6264928511354079,0.7036626824048763,0.06661697769200842
Gemini 3.1 Pro,G-Gemini,1346,0.9487369985141159,0.7649609024775006,0.8411214953271028,0.7729211087420043,0.7644886363636364,0.7756770567194686,0.6454613095238095,0.6401991614255765,0.739978128016933,0.08009952610585902
Gemini 3 Flash,G-Gemini,1500,0.9513333333333334,0.7311103858079505,0.8000649139889646,0.673482635507952,0.6622867680958968,0.7936127240595808,0.6814200092208391,0.6901260504201681,0.7168321835489002,0.0626810403826332
Gemini 2.5 Flash,G-Gemini,1361,0.9059515062454078,0.7303863797648013,0.8076589845780627,0.765326633165829,0.6444063926940639,0.7478475765306123,0.6370666001496632,0.6638755980861244,0.7110302975340593,0.07179644303518123
Gemini 2.5 Pro,G-Gemini,981,0.9367991845056065,0.7122222612236302,0.8887122416534182,0.6194240542066629,0.6233766233766234,0.754074074074074,0.5727176220806793,0.4847560975609756,0.6571767854920723,0.14312771610258457
Gemini 3.1 FLite,G-Gemini,1368,0.8998538011695907,0.6621967778851684,0.8289451333446577,0.7520671834625323,0.686150234741784,0.6363333333333333,0.5660796576695194,0.5491486068111455,0.6697873582271621,0.10844083919696783
Gemini 2.0 FLite,G-Gemini,1500,0.82,0.6391041854862993,0.6883744477172313,0.6916279069767443,0.6623111111111111,0.5553836633663366,0.6674039378957413,0.6211382113821138,0.647706546408213,0.05179504959331174
Gemini 2.0 Flash,G-Gemini,1500,0.866,0.6233095492514334,0.7581571815718157,0.7322515212981745,0.6629341123012009,0.5030925428871513,0.5721829007976632,0.6056818181818182,0.6390500128396372,0.09748083888936265
Gemma 4 31B,G-Gemma,1500,0.9393333333333334,0.7708178975034903,0.8689724816965414,0.663362952836637,0.7371624191707874,0.8055927983144991,0.8123559243891194,0.709733893557423,0.766196744994168,0.0759623661983139
Gemma 3 27B,G-Gemma,1500,0.784,0.5687502624506593,0.5971655056449675,0.6742799137165334,0.5896,0.5276360544217686,0.5689277071990321,0.5979543332484508,0.5925939190384587,0.04798085551706564
Gemma 3 4B,G-Gemma,1445,0.5889273356401384,0.5279320822799084,0.5357142857142857,0.5637237762237761,0.5061425061425062,0.4885373841544144,0.5414899632456884,0.5656146179401994,0.5335370889034784,0.030930984300153667
Gemma 3 12B,G-Gemma,1447,0.7304768486523843,0.504096014360915,0.5334907516725698,0.6134938409854422,0.5217531421205286,0.463868437900128,0.5522388059701493,0.49987231869254334,0.5307862162235601,0.05064253914770818
Gemma 3 1B,G-Gemma,1499,0.3882588392261508,0.497699992879815,0.4950777571693537,0.5009920634920635,0.4997412008281573,0.49019471002861337,0.5034511434511434,0.5015652951699463,0.49850369502321296,0.004946722581235709
GPT-oss-20B,OpenAI,1500,0.8806666666666667,0.7928900993406891,0.7687937460230889,0.7659313725490196,0.8031111111111111,0.8273542600896862,0.7578792735042736,0.7091304347826086,0.7720333663432979,0.04057357296532195
GPT-5.4 mini,OpenAI,1356,0.8193215339233039,0.6510461250206654,0.7424908424908425,0.7968623481781376,0.7228835978835979,0.603783499737257,0.5721726190476191,0.7249396944518895,0.6938554336315573,0.08683818707277867
GPT-5.4,OpenAI,1500,0.8953333333333333,0.6491645759327678,0.8176002496489311,0.7775005198585985,0.6403575503993914,0.7473841554559042,0.5391527599486521,0.6493725868725869,0.6952279703640106,0.10386237554524112
GPT-5.4 nano,OpenAI,1500,0.6533333333333333,0.5822870879120878,0.6332620320855614,0.7484734195402298,0.726,0.48583333333333334,0.5480225988700564,0.6151782682512734,0.6261282753467424,0.10089267196973956
GPT-oss-120B,OpenAI,1500,0.8973333333333333,0.5302990100538393,0.54865,0.5210097990367047,0.5266346882100479,0.5025757575757576,0.6157091853294385,0.43600100984599843,0.5250967399996579,0.058702101252629854
Qwen Think,Qwen,1500,0.9306666666666666,0.7447480438615826,0.7258771929824561,0.6798371647509579,0.7143750000000001,0.767631880733945,0.6438533057851239,0.7568099273607747,0.7147307452688763,0.046764796459469425
Qwen Coder,Qwen,1500,0.8693333333333333,0.671473957681232,0.6496598639455782,0.7155562490248089,0.7227564102564104,0.6159720169474825,0.5758475387856732,0.6954633204633204,0.6625425665705457,0.05894190614052651
Qwen 80B Inst,Qwen,1500,0.856,0.6380181291104188,0.6475338753387534,0.6782649399282259,0.7158613445378151,0.691237689105493,0.584665387894288,0.5815946843853821,0.6498596535316596,0.05619792321364447
Qwen 235B,Qwen,1500,0.866,0.6209694407102286,0.6435897435897436,0.6221988124880291,0.7108707264957265,0.6499790532048597,0.5667925824175823,0.637184633027523,0.6384359252039108,0.046485662764434284
GLM-5,Zhipu,598,0.9414715719063546,0.6974625729510276,0.6015625,0.5758495145631068,0.8181818181818182,0.790282392026578,0.6094276094276094,0.5545171339563864,0.6583034946925831,0.11502883796372136
